Station,JAN_Precip,JAN_Depart,FEB_Precip,FEB_Depart,MAR_Precip,MAR_Depart,APR_Precip,APR_Depart,MAY_Precip,MAY_Depart,JUN_Precip,JUN_Depart,JUL_Precip,JUL_Depart,AUG_Precip,AUG_Depart,SEP_Precip,SEP_Depart,OCT_Precip,OCT_Depart,NOV_Precip,NOV_Depart,DEC_Precip,DEC_Depart
MARYLAND,2.6999999999999997,-0.97,4.152903225806452,-1.18,3.8843333333333345,-1.85,4.994999999999999,0.91,5.763870967741934,1.89,3.6453333333333333,-2.87,3.552187500000001,-2.09,4.1290625,2.83,2.7159375,-2.17,3.542903225806452,-1.12,2.901333333333333,-1.6,3.4899999999999993,-1.49
SOUTHERN EASTERN SHORE  01,2.61,-0.6500000000000001,1.73,1.1586363636363635,3.8843333333333345,-0.55,4.41,1.5560869565217395,5.47,1.5704545454545453,3.6453333333333333,-1.92,2.24,-0.5204347826086957,7.49,0.39956521739130435,1.67,-1.452173913043478,2.18,-0.05545454545454547,2.901333333333333,-1.28,3.4899999999999993,0.52
ASSATEAGUE,3.33,-1.48,3.89,-1.5,4.6,-0.77,4.38,-0.49,3.51,-1.41,1.07,-2.23,3.56,-1.1,4.6,-0.09,5.19,0.4,3.43,-1.77,3.85,-0.54,4.05,0.09
PRINCESS ANNE,2.13,-1.42,1.85,0.14,2.57,-0.050000000000000024,3.06,0.84,2.21,-0.33,0.84,-0.18809523809523807,3.28,-0.6,4.34,0.09,4.38,1.44,1.72,-1.51,1.83,-0.6361904761904762,2.22,0.025714285714285683
SALISBURY 2N,2.15,-1.27,3.28,-0.41,3.97,-0.18,4.32,0.66,3.19,-0.65,1.55,-0.76,3.79,-0.77,4.99,-0.1,5.84,1.38,2.02,-0.98,2.24,0.18,4.19,1.5
SALISBURY FAA AP,2.73,-0.6500000000000001,3.01,1.1586363636363635,3.71,-0.050000000000000024,3.92,1.5560869565217395,2.97,1.5704545454545453,1.15,-0.18809523809523807,3.54,-0.5204347826086957,4.64,0.39956521739130435,5.14,-1.452173913043478,2.39,-0.05545454545454547,2.64,-0.6361904761904762,3.49,0.025714285714285683
SNOW HILL 4 N,3.38,-0.6,4.27,0.96,4.11,-0.050000000000000024,4.69,1.3,5.05,1.14,2.79,-0.18809523809523807,3.36,-0.83,1.55,-2.71,2.86,-0.96,3.08,-0.16,3.47,-0.6361904761904762,4.99,0.025714285714285683
--DIVISIONAL DATA------->,3.38,-0.6500000000000001,4.27,1.1586363636363635,4.11,0.55,4.69,1.5560869565217395,5.05,1.5704545454545453,2.79,-1.22,3.36,-0.5204347826086957,1.55,0.39956521739130435,2.86,-1.452173913043478,3.08,-0.05545454545454547,3.47,-0.36,4.99,0.2
CENTRAL EASTERN SHORE  02,3.33,-0.6500000000000001,4.04,1.1586363636363635,4.86,-0.050000000000000024,4.29,1.5560869565217395,5.32,1.5704545454545453,2.56,-0.18809523809523807,1.7,-0.5204347826086957,1.22,0.39956521739130435,2.27,-1.452173913043478,4.08,-0.05545454545454547,2.91,-0.6361904761904762,3.67,0.025714285714285683
ROYAL OAK 2 SSW,2.93,-0.59,3.73,1.02,3.8843333333333345,0.33,3.26,1.09,4.68,1.5704545454545453,3.67,-0.84,3.24,-2.52,2.51,-2.26,3.04,-1.9,2.67,-0.1,3.19,-0.1,3.35,0.26
--DIVISIONAL DATA------->,3.13,-0.6500000000000001,4.04,1.1586363636363635,4.86,1.27,4.29,1.5560869565217395,5.763870967741934,1.5704545454545453,2.56,-1.26,1.7,-0.5204347826086957,1.87,0.39956521739130435,2.27,-1.452173913043478,3.38,-0.05545454545454547,2.91,-0.23,3.51,1.0
LOWER SOUTHERN  03,2.71,-0.45,4.58,1.26,4.38,0.78,8.6,1.85,3.35,4.56,3.95,0.22,2.8,-0.85,7.9,0.67,3.21,-0.89,4.16,0.39,3.36,-1.6,3.58,0.1
MECHANICSVILLE 5 NE,2.41,-0.11,3.86,3.79,4.01,0.34,5.2,-0.43,8.88,3.88,2.86,3.5,3.09,-1.82,3.94,1.78,3.19,-0.85,4.06,0.41,3.14,0.43,3.39,-0.08
SOLOMONS,2.91,1.51,6.82,1.74,5.27,0.17,3.23,5.07,8.32,1.26,2.95,0.8,2.77,-0.89,5.64,1.54,3.32,-1.36,4.25,0.05,3.39,-0.5,4.22,0.24
--DIVISIONAL DATA------->,4.67,-0.39,4.77,1.52,4.88,0.57,8.88,6.08,5.82,-0.27,4.45,-1.35,3.16,-1.18,4.97,2.96,3.24,-1.29,4.03,0.66,2.61,-0.74,3.87,0.72
UPPER SOUTHERN  04,2.53,-1.12,4.12,1.3,4.2,0.11,9.3,1.04,3.22,2.43,6.77,-0.78,3.44,-0.57,6.35,-0.68,2.8,-1.22,3.71,0.17,3.4,-0.46,3.33,1.01
BALTIMORE WASH INTL AP,1.97,-0.52,4.2,1.58,3.89,0.34,4.55,0.77,6.71,2.93,4.88,0.36,3.75,-0.68,2.73,1.9,2.54,-2.38,3.96,-0.27,2.97,-0.32,3.44,0.29
BELTSVILLE,2.5,-0.67,4.51,1.45,4.35,-0.050000000000000024,4.17,1.08,7.29,1.38,3.01,-0.18809523809523807,3.67,0.29,5.52,0.72,1.75,-1.42,3.45,-0.26,2.86,-0.6361904761904762,3.99,0.025714285714285683
DALECARLIA RSVR,2.21,-0.81,4.17,1.77,3.87,-0.050000000000000024,4.63,2.95,5.7,1.27,3.29,-0.18809523809523807,4.31,-0.77,4.44,1.17,2.57,-1.42,3.34,0.34,3.01,-0.6361904761904762,4.15,0.025714285714285683
LAUREL 3 W,2.74,-0.6500000000000001,4.69,1.1586363636363635,4.36,-0.92,6.29,1.5560869565217395,5.71,1.5704545454545453,4.02,0.73,3.37,-0.5204347826086957,5.12,0.39956521739130435,2.76,-1.452173913043478,3.82,-0.05545454545454547,3.06,0.09,3.68,-1.26
MARYLAND SCIENCE CENTER,2.47,-0.6500000000000001,4.66,1.1586363636363635,3.68,-0.050000000000000024,3.85,1.5560869565217395,8.39,1.5704545454545453,4.01,-0.18809523809523807,4.24,-0.5204347826086957,5.01,0.39956521739130435,3.93,-1.452173913043478,3.24,-0.05545454545454547,3.71,-0.6361904761904762,2.6,0.025714285714285683
NATL ARBORETUM DC,3.47,0.35,4.72,0.92,4.73,1.48,4.87,5.33,9.78,1.52,3.02,-0.81,2.99,-1.5,4.96,-0.3,2.05,-2.57,4.21,-0.94,3.32,-0.53,3.78,0.11
OXON HILL,3.79,-0.6500000000000001,3.77,1.1586363636363635,3.33,-0.97,9.26,1.5560869565217395,5.48,1.5704545454545453,4.91,1.06,2.79,-0.5204347826086957,3.61,0.39956521739130435,2.38,-1.452173913043478,3.18,-0.05545454545454547,3.63,-0.43,2.77,-0.19
UPPER MARLBORO 3 NNW,2.39,0.01,5.41,2.04,1.74,-0.050000000000000024,6.13,2.96,8.09,2.57,6.22,-0.18809523809523807,2.75,0.42,4.78,-0.85,2.43,-2.08,4.88,-0.73,1.5,-0.6361904761904762,4.72,0.025714285714285683
--DIVISIONAL DATA------->,3.38,-0.05,5.21,0.78,5.17,1.68,6.59,0.63,6.74,3.16,3.33,0.5,4.54,0.3,3.44,1.76,2.43,-2.44,2.99,1.22,3.39,-0.13,3.74,-0.18
NORTHERN CENTRAL  06,3.13,-0.6500000000000001,3.48,1.1586363636363635,3.08,-0.050000000000000024,4.54,1.5560869565217395,7.5,1.5704545454545453,4.98,-0.18809523809523807,3.95,-0.5204347826086957,5.16,0.39956521739130435,1.8,-1.452173913043478,4.6,-0.05545454545454547,3.18,-0.6361904761904762,3.14,0.025714285714285683
ABERDEEN PHILLIPS FLD,2.6999999999999997,0.19,4.152903225806452,2.98,3.8843333333333345,0.2,4.994999999999999,2.42,5.763870967741934,0.41,3.6453333333333333,0.29,3.552187500000001,0.35,4.1290625,-0.08,2.7159375,-2.97,3.542903225806452,0.34,2.901333333333333,-0.17,3.4899999999999993,-0.04
BRIGHTON DAM,3.4,-0.6500000000000001,6.17,1.1586363636363635,5.4,-0.050000000000000024,6.13,1.5560869565217395,4.67,1.5704545454545453,3.89,-0.18809523809523807,4.34,-0.5204347826086957,3.64,0.39956521739130435,1.5,-1.452173913043478,4.09,-0.05545454545454547,3.46,-0.6361904761904762,3.46,0.025714285714285683
