,MARYLAND,SOUTHERN EASTERN,SHORE              01,ASSATEAGUE               ,PRINCESS ANNE            ,SALISBURY                ,SALISBURY POLICE BRKS    ,SALISBURY FAA AP         ,SNOW HILL 4 N            ,--DIVISIONAL DATA------->,CENTRAL EASTERN,SHORE              02,ROYAL OAK 2 SSW          ,VIENNA                   ,--DIVISIONAL DATA------->,LOWER SOUTHERN     03,MECHANICSVILLE 5 NE      ,SOLOMONS                 ,--DIVISIONAL DATA------->,UPPER SOUTHERN     04,ANNAPOLIS POLICE BRKS    ,BALTIMORE WASH INTL AP  R,BELTSVILLE               ,DALECARLIA RESERVOIR     ,GLENN DALE BELL STN      ,MD SCI CTR BALTIMORE    R,NATIONAL ARBORETUM DC    ,OXON HILL                ,UPPER MARLBORO 3 NNW     ,--DIVISIONAL DATA------->,NORTHERN EASTERN,SHORE              05,CHESTERTOWN              ,--DIVISIONAL DATA------->,NORTHERN CENTRAL   06,ABERDEEN PHILLIPS FLD    ,CATOCTIN MOUNTAIN PARK   ,CONOWINGO DAM            ,CYLBURN                  ,DAMASCUS 3 SSW           ,EMMITSBURG 2 SE          ,FREDERICK 2 NNE,MILLERS 4 NE             ,PORT DEPOSIT 2 NE        ,ROCKVILLE 1 NE           ,SMITHSBURG 2NW           ,--DIVISIONAL DATA------->,APPALACHIAN,MOUNTAIN           07,CUMBERLAND 2             ,CUMBERLAND POLICE BRK    ,FROSTBURG 2              ,HAGERSTOWN POLICE BRK    ,SHARPSBURG 5 S           ,WILLIAMSPORT             ,--DIVISIONAL DATA------->,ALLEGHENY PLATEAU  08,OAKLAND 1 SE             ,SAVAGE RIVER DAM         ,--DIVISIONAL DATA------->,DELAWARE,NORTHERN           01,BEAR 2 SW                ,NEWARK UNIV FARM         ,WILMINGTON NEW CASTLE   R,WILMINGTON PORTER RSVR   ,--DIVISIONAL DATA------->,SOUTHERN           02,DOVER                    ,GREENWOOD 2NE            ,LEWES                    ,SMYRNA 1 W               ,--DIVISIONAL DATA------->
Jan_Temp_05,37.0,33.52,37.0,37.0,35.0,38.0,37.0,36.0,37.0,36.0,34.0,38.0,36.0,35.0,34.0,33.0,34.0,32.0,35.0,35.0,35.0,33.0,34.0,33.0,33.0,33.52,30.0,33.52,33.52,31.0,32.0,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,33.52,31.0,30.0,34.0,32.0,32.0,33.0,32.0,28.0,33.0,32.0,32.0,32.0,31.0,29.0,30.0,33.52,32.0,31.0,32.0,32.0,35.0,34.0,37.0,33.52,35.0,33.52,33.52,33.52,33.52,33.52,33.52
Jan_Depart_05,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.0,1.0,1.8333333333333333,1.0,2.0,1.8333333333333333,1.8333333333333333,2.0,2.0,1.0,1.0,1.8333333333333333,1.0,1.8333333333333333,2.0,1.8333333333333333,1.0,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,3.0,1.8333333333333333,1.8333333333333333,2.0,1.8333333333333333,3.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,3.0,4.0,3.0,4.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,2.0,1.8333333333333333,1.8333333333333333,1.0,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333,1.8333333333333333
Feb_Temp_05,38.0,36.07692307692308,40.0,39.0,36.0,39.0,39.0,38.0,39.0,39.0,36.0,40.0,38.0,39.0,36.0,37.0,38.0,36.0,39.0,39.0,39.0,37.0,38.0,36.0,36.0,38.0,34.0,36.07692307692308,36.07692307692308,35.0,34.0,35.0,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,34.0,34.0,37.0,33.0,35.0,35.0,34.0,29.0,36.0,35.0,35.0,34.0,31.0,31.0,31.0,34.0,36.07692307692308,35.0,35.0,35.0,37.0,35.0,37.0,36.07692307692308,37.0,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308,36.07692307692308
Feb_Depart_05,1.5714285714285714,1.5714285714285714,1.0,1.5714285714285714,1.0,1.5714285714285714,1.0,1.5714285714285714,1.0,2.0,1.0,1.5714285714285714,1.0,4.0,1.0,2.0,1.5714285714285714,1.0,1.5714285714285714,3.0,1.5714285714285714,1.0,1.0,1.5714285714285714,1.0,2.0,2.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.0,1.5714285714285714,2.0,1.5714285714285714,1.0,1.0,1.5714285714285714,2.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,2.0,2.0,2.0,2.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,2.0,1.5714285714285714,1.5714285714285714,1.0,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714,1.5714285714285714
Mar_Temp_05,41.0,38.905660377358494,43.0,42.0,39.0,41.0,41.0,42.0,42.0,42.0,40.0,42.0,41.0,43.0,40.0,40.0,38.0,39.0,42.0,42.0,42.0,40.0,41.0,41.0,41.0,40.0,35.0,38.0,38.905660377358494,38.0,38.0,38.0,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,37.0,37.0,38.0,35.0,37.0,39.0,37.0,31.0,39.0,35.0,38.0,37.0,33.0,33.0,33.0,37.0,38.905660377358494,38.0,38.0,38.0,40.0,39.0,41.0,38.905660377358494,40.0,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494,38.905660377358494
Mar_Depart_05,2.0,3.6666666666666665,4.0,3.6666666666666665,6.0,5.0,3.0,4.0,4.0,2.0,6.0,3.6666666666666665,3.0,3.6666666666666665,3.0,3.0,6.0,4.0,3.6666666666666665,2.0,3.6666666666666665,3.0,3.0,3.0,2.0,4.0,5.0,3.0,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,4.0,3.6666666666666665,4.0,3.6666666666666665,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.0,4.0,3.0,3.0,3.6666666666666665,3.6666666666666665,4.0,3.0,4.0,4.0,4.0,4.0,3.6666666666666665,4.0,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665,3.6666666666666665
Apr_Temp_05,52.0,54.132075471698116,57.0,57.0,52.0,55.0,55.0,57.0,56.0,56.0,54.0,57.0,55.0,58.0,55.0,54.0,54.0,53.0,57.0,56.0,56.0,54.0,55.0,55.0,55.0,58.0,54.0,55.0,54.132075471698116,54.0,55.0,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.0,54.0,52.0,52.0,54.0,55.0,54.0,49.0,55.0,52.0,52.0,53.0,49.0,49.0,49.0,53.0,53.0,53.0,53.0,53.0,56.0,53.0,56.0,54.132075471698116,55.0,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116,54.132075471698116
Apr_Depart_05,1.6486486486486487,1.6486486486486487,1.0,1.6486486486486487,1.0,1.6486486486486487,1.0,1.0,1.6486486486486487,2.0,1.0,1.6486486486486487,1.0,4.0,2.0,1.0,1.0,1.0,1.6486486486486487,2.0,1.6486486486486487,1.0,1.0,1.0,2.0,4.0,2.0,3.0,1.6486486486486487,1.6486486486486487,2.0,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,2.0,1.6486486486486487,1.0,1.6486486486486487,2.0,2.0,1.6486486486486487,3.0,1.6486486486486487,1.6486486486486487,1.6486486486486487,2.0,2.0,2.0,2.0,1.6486486486486487,1.6486486486486487,1.0,2.0,1.0,1.0,1.0,1.0,1.6486486486486487,1.0,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487,1.6486486486486487
May_Temp_05,57.0,58.09615384615385,61.0,61.0,56.0,60.0,59.0,61.0,61.0,61.0,57.0,61.0,59.0,61.0,59.0,59.0,58.0,57.0,62.0,61.0,60.0,59.0,60.0,60.0,60.0,58.09615384615385,57.0,58.0,58.09615384615385,58.0,58.0,58.0,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,57.0,57.0,56.0,56.0,57.0,59.0,57.0,52.0,59.0,56.0,57.0,57.0,53.0,53.0,53.0,57.0,58.09615384615385,57.0,58.0,57.0,59.0,57.0,59.0,58.09615384615385,59.0,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385,58.09615384615385
May_Depart_05,3.0,3.5384615384615383,3.0,3.5384615384615383,7.0,4.0,3.0,4.0,3.0,2.0,6.0,3.5384615384615383,3.0,2.0,3.0,3.0,6.0,3.0,3.5384615384615383,2.0,3.5384615384615383,3.0,3.0,3.0,2.0,3.5384615384615383,3.0,4.0,3.5384615384615383,3.5384615384615383,4.0,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.0,3.5384615384615383,6.0,3.5384615384615383,4.0,3.0,3.5384615384615383,3.0,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.0,3.0,3.0,3.0,3.5384615384615383,3.5384615384615383,5.0,3.0,5.0,4.0,4.0,4.0,3.5384615384615383,3.0,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383,3.5384615384615383
